N_inter,malla,x10,x20,x50,converge
865,100,0.0975995889190963,0.001047765921245,5.473830958869322e-07,True
882,50,0.110238033930097,0.0049900500043143,4.628339410504518e-07,True
862,25,0.06659108563491431,0.004161942852181066,2.5402483246695163e-07,True
2000,10,1.1192733943000306,0.3592382469039773,0.03173357591996648,False
